Local Government District,Electoral Ward (2014),Sale Year,No. of Verified Sales,Minimum Sale Price,Lower Quartile Sale Price,Median Sale Price,Simple Mean Sale Price,Upper Quartile Sale Price,Maximum Sale Price
Antrim and Newtownabbey,Glebe,2011,31,.,.,.,.,.,.
Antrim and Newtownabbey,Glebe,2012,28,.,.,.,.,.,.
Antrim and Newtownabbey,Glebe,2013,28,.,.,.,.,.,.
Antrim and Newtownabbey,Glebe,2014,34,72000,92000,113975,110395,124600,167000
Antrim and Newtownabbey,Glebe,2015,36,86000,98000,105000,115483,120000,187500
Antrim and Newtownabbey,Glebe,2016,31,.,.,.,.,.,.
Antrim and Newtownabbey,Glebe,2017,48,71500,104000,115500,125116,130500,308000
Antrim and Newtownabbey,Glebe,2018,45,85000,105250,120250,120720,130500,175000
Antrim and Newtownabbey,Glengormley,2005,75,37500,82000,99975,98058,109000,180000
Antrim and Newtownabbey,Glengormley,2006,85,55000,96000,120000,121479,137500,248765
Antrim and Newtownabbey,Glengormley,2007,75,53000,145000,183500,184916,211000,495000
Antrim and Newtownabbey,Glengormley,2008,26,.,.,.,.,.,.
Antrim and Newtownabbey,Glengormley,2009,36,36180,90000,110000,110588,130000,175000
Antrim and Newtownabbey,Glengormley,2010,25,.,.,.,.,.,.
Antrim and Newtownabbey,Glengormley,2011,34,35000,82000,105000,103481,125000,167500
Antrim and Newtownabbey,Glengormley,2012,34,30000,48500,84000,79129,95000,190000
Antrim and Newtownabbey,Glengormley,2013,41,35000,58000,72000,74507,87500,134950
Antrim and Newtownabbey,Glengormley,2014,61,25000,70000,79625,87836,105000,175000
Antrim and Newtownabbey,Glengormley,2015,57,41000,71000,87000,87170,102000,143000
Antrim and Newtownabbey,Glengormley,2016,56,38500,69975,90098,91669,105500,250000
Antrim and Newtownabbey,Glengormley,2017,63,50250,72000,98000,96602,114950,164950
Antrim and Newtownabbey,Glengormley,2018,58,52500,83000,97000,99079,114950,230000
Antrim and Newtownabbey,Greystone,2005,52,40000,68000,75000,79954,82000,310000
Antrim and Newtownabbey,Greystone,2006,83,60000,80000,92750,100312,114000,220000
Antrim and Newtownabbey,Greystone,2007,62,62000,120000,135000,139965,147500,369000
Antrim and Newtownabbey,Greystone,2008,19,.,.,.,.,.,.
Antrim and Newtownabbey,Greystone,2009,21,.,.,.,.,.,.
Antrim and Newtownabbey,Greystone,2010,17,.,.,.,.,.,.
Antrim and Newtownabbey,Greystone,2011,20,.,.,.,.,.,.
Antrim and Newtownabbey,Greystone,2012,20,.,.,.,.,.,.
Antrim and Newtownabbey,Greystone,2013,20,.,.,.,.,.,.
Antrim and Newtownabbey,Greystone,2014,37,37000,46500,61750,83981,115950,185000
Antrim and Newtownabbey,Greystone,2015,31,.,.,.,.,.,.
Antrim and Newtownabbey,Greystone,2016,42,39995,57250,80750,86323,115000,186079
Antrim and Newtownabbey,Greystone,2017,48,47000,65000,99950,100973,121235,325000
Antrim and Newtownabbey,Greystone,2018,45,45000,67000,109300,100216,121550,229000
Antrim and Newtownabbey,Hightown,2005,55,51500,75000,110750,107462,135000,190000
Antrim and Newtownabbey,Hightown,2006,90,37000,100000,134250,142597,161000,510000
Antrim and Newtownabbey,Hightown,2007,52,77500,171000,192500,199452,230000,300000
Antrim and Newtownabbey,Hightown,2008,32,37518,120000,140000,157612,205000,300000
Antrim and Newtownabbey,Hightown,2009,24,.,.,.,.,.,.
Antrim and Newtownabbey,Hightown,2010,32,68000,97500,120000,122160,135000,205000
Antrim and Newtownabbey,Hightown,2011,25,.,.,.,.,.,.
Antrim and Newtownabbey,Hightown,2012,28,.,.,.,.,.,.
Antrim and Newtownabbey,Hightown,2013,44,46000,86850,100000,104361,125000,180000
Antrim and Newtownabbey,Hightown,2014,50,47000,90000,117000,112248,135000,187500
Antrim and Newtownabbey,Hightown,2015,49,56000,97000,114950,119732,136500,218304
Antrim and Newtownabbey,Hightown,2016,38,44000,100000,118000,117927,135950,212500
Antrim and Newtownabbey,Hightown,2017,52,55500,101000,120000,119702,139000,177950
Antrim and Newtownabbey,Hightown,2018,44,56500,100500,129950,125791,144950,249950
Antrim and Newtownabbey,Jordanstown,2005,59,56347,138000,163750,158648,184000,225000
Antrim and Newtownabbey,Jordanstown,2006,76,75000,170000,206000,198417,237500,310000
Antrim and Newtownabbey,Jordanstown,2007,51,104000,288000,310000,319277,390000,600000
Antrim and Newtownabbey,Jordanstown,2008,14,.,.,.,.,.,.
Antrim and Newtownabbey,Jordanstown,2009,18,.,.,.,.,.,.
Antrim and Newtownabbey,Jordanstown,2010,16,.,.,.,.,.,.
Antrim and Newtownabbey,Jordanstown,2011,24,.,.,.,.,.,.
Antrim and Newtownabbey,Jordanstown,2012,26,.,.,.,.,.,.
Antrim and Newtownabbey,Jordanstown,2013,30,.,.,.,.,.,.
Antrim and Newtownabbey,Jordanstown,2014,48,84750,156000,185000,188123,217500,355000
Antrim and Newtownabbey,Jordanstown,2015,49,79000,164000,184000,185674,232000,254259
Antrim and Newtownabbey,Jordanstown,2016,44,86000,169950,199500,198505,225000,285000
Antrim and Newtownabbey,Jordanstown,2017,55,96000,173000,193475,200361,240000,307500
Antrim and Newtownabbey,Jordanstown,2018,50,85500,167000,184000,187697,206000,290000
Antrim and Newtownabbey,Mallusk,2005,83,53000,118978,129568,140216,146000,565000
Antrim and Newtownabbey,Mallusk,2006,134,65000,130500,150000,167085,178500,550000
Antrim and Newtownabbey,Mallusk,2007,104,68500,190000,220000,233134,250000,860000
Antrim and Newtownabbey,Mallusk,2008,55,42500,137475,164000,176470,202475,400000
Antrim and Newtownabbey,Mallusk,2009,71,99750,135750,164725,164400,174975,310000
Antrim and Newtownabbey,Mallusk,2010,48,52000,127500,159975,153500,175000,249950
Antrim and Newtownabbey,Mallusk,2011,58,42502,121000,149950,152435,166500,340000
Antrim and Newtownabbey,Mallusk,2012,73,41000,90000,133750,129029,159500,290000
Antrim and Newtownabbey,Mallusk,2013,105,48000,109500,128500,131081,148000,245000
Antrim and Newtownabbey,Mallusk,2014,122,60000,108975,134950,137136,152250,425000
Antrim and Newtownabbey,Mallusk,2015,171,47000,124950,135000,137267,147750,300000
Antrim and Newtownabbey,Mallusk,2016,139,70000,120000,139922,144773,155099,290000
Antrim and Newtownabbey,Mallusk,2017,165,69000,128750,149950,148760,165000,287500
Antrim and Newtownabbey,Mallusk,2018,144,62500,124000,150000,150029,169950,282000
Antrim and Newtownabbey,Monkstown,2005,64,32000,59950,92000,105490,132000,240000
Antrim and Newtownabbey,Monkstown,2006,88,26555,83000,113000,118493,147000,249950
Antrim and Newtownabbey,Monkstown,2007,77,46620,130000,170000,184041,225000,500000
Antrim and Newtownabbey,Monkstown,2008,22,.,.,.,.,.,.
Antrim and Newtownabbey,Monkstown,2009,26,.,.,.,.,.,.
Antrim and Newtownabbey,Monkstown,2010,23,.,.,.,.,.,.
Antrim and Newtownabbey,Monkstown,2011,20,.,.,.,.,.,.
Antrim and Newtownabbey,Monkstown,2012,34,37500,47785,102145,100635,126000,250000
Antrim and Newtownabbey,Monkstown,2013,39,37000,42500,75400,88685,118000,245000
Antrim and Newtownabbey,Monkstown,2014,40,37000,45000,102000,108306,137500,280000
Antrim and Newtownabbey,Monkstown,2015,40,40000,62000,94500,108522,125000,275000
Antrim and Newtownabbey,Monkstown,2016,56,39000,94000,120000,138910,195000,295000
Antrim and Newtownabbey,Monkstown,2017,66,45000,70000,132500,123952,153781,276000
Antrim and Newtownabbey,Monkstown,2018,49,42000,73725,123950,131881,165000,320000
Antrim and Newtownabbey,Mossley,2005,83,34500,77000,93750,101637,115590,225000
Antrim and Newtownabbey,Mossley,2006,115,48000,86000,114000,116533,132000,400000
Antrim and Newtownabbey,Mossley,2007,68,41000,139000,165000,170035,193000,460000
Antrim and Newtownabbey,Mossley,2008,33,.,.,.,.,.,.
Antrim and Newtownabbey,Mossley,2009,39,65300,75000,95000,102864,130000,170000
Antrim and Newtownabbey,Mossley,2010,28,.,.,.,.,.,.
Antrim and Newtownabbey,Mossley,2011,29,.,.,.,.,.,.
Antrim and Newtownabbey,Mossley,2012,42,34000,60000,88000,106350,120000,250000
Antrim and Newtownabbey,Mossley,2013,36,35500,65000,75000,92469,107500,250000
Antrim and Newtownabbey,Mossley,2014,43,36000,52000,95000,95501,134950,189950
Antrim and Newtownabbey,Mossley,2015,54,38000,93000,119950,119435,143500,240000
Antrim and Newtownabbey,Mossley,2016,56,42500,74000,103500,113700,135950,405000
Antrim and Newtownabbey,Mossley,2017,58,53000,79200,109225,116150,145000,240000
Antrim and Newtownabbey,Mossley,2018,71,53500,82000,119225,135176,159950,375000
Antrim and Newtownabbey,O'Neill,2005,48,21060,60000,66500,67351,80000,103000
Antrim and Newtownabbey,O'Neill,2006,93,26100,71500,85000,87396,97000,188000
Antrim and Newtownabbey,O'Neill,2007,63,37000,100000,132500,127755,159950,235000
Antrim and Newtownabbey,O'Neill,2008,34,.,.,.,.,.,.
Antrim and Newtownabbey,O'Neill,2009,15,.,.,.,.,.,.
Antrim and Newtownabbey,O'Neill,2010,21,.,.,.,.,.,.
Antrim and Newtownabbey,O'Neill,2011,18,.,.,.,.,.,.
Antrim and Newtownabbey,O'Neill,2012,33,.,.,.,.,.,.
Antrim and Newtownabbey,O'Neill,2013,23,.,.,.,.,.,.
Antrim and Newtownabbey,O'Neill,2014,33,28000,44000,51125,55385,65000,99950
Antrim and Newtownabbey,O'Neill,2015,31,.,.,.,.,.,.
Antrim and Newtownabbey,O'Neill,2016,19,.,.,.,.,.,.
Antrim and Newtownabbey,O'Neill,2017,42,44950,55000,67000,68693,74950,135000
Antrim and Newtownabbey,O'Neill,2018,42,47500,55000,71750,74347,90000,130000
Antrim and Newtownabbey,Parkgate,2005,38,75000,119950,185000,192144,250000,448000
Antrim and Newtownabbey,Parkgate,2006,46,93500,165000,232500,226539,260000,410000
Antrim and Newtownabbey,Parkgate,2007,30,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2008,8,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2009,16,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2010,19,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2011,11,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2012,13,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2013,15,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2014,21,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2015,28,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2016,27,.,.,.,.,.,.
Antrim and Newtownabbey,Parkgate,2017,36,102000,187000,230000,240886,300000,550000
Antrim and Newtownabbey,Parkgate,2018,27,.,.,.,.,.,.
Antrim and Newtownabbey,Randalstown,2005,66,53000,80000,109500,112150,128500,249500
Antrim and Newtownabbey,Randalstown,2006,88,59000,96000,140000,142822,185000,300000
Antrim and Newtownabbey,Randalstown,2007,65,70000,148000,192000,216122,250000,530000
Antrim and Newtownabbey,Randalstown,2008,12,.,.,.,.,.,.
Antrim and Newtownabbey,Randalstown,2009,22,.,.,.,.,.,.
Antrim and Newtownabbey,Randalstown,2010,19,.,.,.,.,.,.
Antrim and Newtownabbey,Randalstown,2011,19,.,.,.,.,.,.
Antrim and Newtownabbey,Randalstown,2012,38,44000,95000,120000,117905,132000,200000
Antrim and Newtownabbey,Randalstown,2013,25,.,.,.,.,.,.
Antrim and Newtownabbey,Randalstown,2014,47,53000,68000,102475,97734,119000,205000
Antrim and Newtownabbey,Randalstown,2015,44,43630,74000,111000,112382,130000,195000
Antrim and Newtownabbey,Randalstown,2016,53,50000,72500,115000,110520,125000,210000
Antrim and Newtownabbey,Randalstown,2017,51,50000,90000,124950,124428,158000,250000
Antrim and Newtownabbey,Randalstown,2018,49,55000,81000,115000,119207,139500,235000
Antrim and Newtownabbey,Rathcoole,2005,53,44000,62500,67500,74634,75000,133000
Antrim and Newtownabbey,Rathcoole,2006,100,30000,71000,88000,90532,110000,195000
Antrim and Newtownabbey,Rathcoole,2007,73,35000,110000,140000,138150,155000,450000
Antrim and Newtownabbey,Rathcoole,2008,31,.,.,.,.,.,.
Antrim and Newtownabbey,Rathcoole,2009,19,.,.,.,.,.,.
Antrim and Newtownabbey,Rathcoole,2010,17,.,.,.,.,.,.
Antrim and Newtownabbey,Rathcoole,2011,21,.,.,.,.,.,.
Antrim and Newtownabbey,Rathcoole,2012,38,37000,43000,50000,55286,58500,145000
Antrim and Newtownabbey,Rathcoole,2013,25,.,.,.,.,.,.
Antrim and Newtownabbey,Rathcoole,2014,43,28500,45000,55000,55326,60000,125000
Antrim and Newtownabbey,Rathcoole,2015,42,41500,49000,61500,62262,69000,136000
Antrim and Newtownabbey,Rathcoole,2016,39,39999,58000,65000,70540,78000,133000
Antrim and Newtownabbey,Rathcoole,2017,45,43500,56000,65250,66161,75000,120000
Antrim and Newtownabbey,Rathcoole,2018,67,45000,56500,66000,72785,81500,185000
Antrim and Newtownabbey,Rostulla,2005,54,118000,165000,190000,243375,285000,641667
Antrim and Newtownabbey,Rostulla,2006,61,92500,193500,249000,263343,310000,700000
Antrim and Newtownabbey,Rostulla,2007,45,70437,255000,322500,432538,450000,1380000
Antrim and Newtownabbey,Rostulla,2008,9,.,.,.,.,.,.
Antrim and Newtownabbey,Rostulla,2009,18,.,.,.,.,.,.
Antrim and Newtownabbey,Rostulla,2010,23,.,.,.,.,.,.
Antrim and Newtownabbey,Rostulla,2011,16,.,.,.,.,.,.
Antrim and Newtownabbey,Rostulla,2012,37,75000,147000,182500,197832,230000,650000
Antrim and Newtownabbey,Rostulla,2013,44,75000,149563,175000,183288,225000,282000
Antrim and Newtownabbey,Rostulla,2014,65,48000,159353,189975,195339,230000,475000
Antrim and Newtownabbey,Rostulla,2015,72,95000,165235,184619,203814,240000,410000
Antrim and Newtownabbey,Rostulla,2016,63,67000,156950,204722,223683,270000,685000
Antrim and Newtownabbey,Rostulla,2017,81,77000,179950,219975,227423,256000,668000
Antrim and Newtownabbey,Rostulla,2018,65,95000,187500,234200,250652,285000,750000
Antrim and Newtownabbey,Shilvodan,2005,25,.,.,.,.,.,.
Antrim and Newtownabbey,Shilvodan,2006,55,60000,126857,159768,185140,240000,415000
Antrim and Newtownabbey,Shilvodan,2007,38,150000,210000,227000,270313,325000,460000
Antrim and Newtownabbey,Shilvodan,2008,23,.,.,.,.,.,.
Antrim and Newtownabbey,Shilvodan,2009,24,.,.,.,.,.,.
Antrim and Newtownabbey,Shilvodan,2010,14,.,.,.,.,.,.
Antrim and Newtownabbey,Shilvodan,2011,21,.,.,.,.,.,.
Antrim and Newtownabbey,Shilvodan,2012,26,.,.,.,.,.,.
Antrim and Newtownabbey,Shilvodan,2013,31,.,.,.,.,.,.
Antrim and Newtownabbey,Shilvodan,2014,42,61000,122000,131475,150469,186500,273000
Antrim and Newtownabbey,Shilvodan,2015,40,64500,125000,150000,156441,180000,275000
Antrim and Newtownabbey,Shilvodan,2016,46,69000,135500,163750,182193,224950,370000
Antrim and Newtownabbey,Shilvodan,2017,41,95000,135000,153000,173379,190000,382500
Antrim and Newtownabbey,Shilvodan,2018,50,100000,142000,152000,176206,189950,335000
Antrim and Newtownabbey,Springfarm,2005,120,45000,85000,106903,105173,126121,175000
Antrim and Newtownabbey,Springfarm,2006,193,60000,120000,139267,141466,164950,249950
Antrim and Newtownabbey,Springfarm,2007,114,59000,175000,193000,200775,219585,575000
Antrim and Newtownabbey,Springfarm,2008,43,72213,142950,161500,164557,185285,270000
Antrim and Newtownabbey,Springfarm,2009,63,56000,123000,132500,134335,148950,220000
Antrim and Newtownabbey,Springfarm,2010,36,50000,117000,130000,126174,137110,213500
Antrim and Newtownabbey,Springfarm,2011,35,.,.,.,.,.,.
Antrim and Newtownabbey,Springfarm,2012,34,45000,90000,110000,109554,123329,187500
Antrim and Newtownabbey,Springfarm,2013,40,56000,96000,114250,111823,124725,170000
Antrim and Newtownabbey,Springfarm,2014,75,40500,97500,113950,110102,124950,233472
Antrim and Newtownabbey,Springfarm,2015,87,45000,102500,119000,116459,129000,190000
Antrim and Newtownabbey,Springfarm,2016,76,47000,113475,123975,127295,140000,259950
Antrim and Newtownabbey,Springfarm,2017,86,47000,100000,124000,127538,150000,290000
Antrim and Newtownabbey,Springfarm,2018,83,59000,115000,130000,132617,144950,266000
Antrim and Newtownabbey,Steeple,2005,107,37000,65500,73000,77068,84750,150000
Antrim and Newtownabbey,Steeple,2006,123,55000,85000,96975,103082,115000,370000
Antrim and Newtownabbey,Steeple,2007,82,56000,125000,140000,138908,155000,225000
Antrim and Newtownabbey,Steeple,2008,22,.,.,.,.,.,.
Antrim and Newtownabbey,Steeple,2009,21,.,.,.,.,.,.
Antrim and Newtownabbey,Steeple,2010,27,.,.,.,.,.,.
Antrim and Newtownabbey,Steeple,2011,28,.,.,.,.,.,.
Antrim and Newtownabbey,Steeple,2012,29,.,.,.,.,.,.
Antrim and Newtownabbey,Steeple,2013,23,.,.,.,.,.,.
Antrim and Newtownabbey,Steeple,2014,45,40000,46000,53375,61658,71250,121000
Antrim and Newtownabbey,Steeple,2015,63,42500,52276,67500,79698,110000,185000
Antrim and Newtownabbey,Steeple,2016,60,41250,57250,69000,95024,142090,197479
Antrim and Newtownabbey,Steeple,2017,69,42000,68000,80000,100699,144000,179615
Antrim and Newtownabbey,Steeple,2018,39,50000,70000,76000,90242,110000,156000
Antrim and Newtownabbey,Stiles,2005,90,41000,60000,76000,83300,105500,155000
Antrim and Newtownabbey,Stiles,2006,129,50000,85000,95000,101808,119000,200000
Antrim and Newtownabbey,Stiles,2007,68,57000,122500,139950,147061,162000,360400
Antrim and Newtownabbey,Stiles,2008,23,.,.,.,.,.,.
Antrim and Newtownabbey,Stiles,2009,25,.,.,.,.,.,.
Antrim and Newtownabbey,Stiles,2010,21,.,.,.,.,.,.
Antrim and Newtownabbey,Stiles,2011,17,.,.,.,.,.,.
Antrim and Newtownabbey,Stiles,2012,30,.,.,.,.,.,.
Antrim and Newtownabbey,Stiles,2013,28,.,.,.,.,.,.
Antrim and Newtownabbey,Stiles,2014,24,.,.,.,.,.,.
Antrim and Newtownabbey,Stiles,2015,26,.,.,.,.,.,.
Antrim and Newtownabbey,Stiles,2016,44,42000,58000,68000,76401,95000,132500
Antrim and Newtownabbey,Stiles,2017,81,45500,72000,92000,97136,118950,225000
Antrim and Newtownabbey,Stiles,2018,70,50000,75000,114750,106610,124950,206025
Antrim and Newtownabbey,Templepatrick,2005,63,60000,120000,172300,175031,210000,400000
Antrim and Newtownabbey,Templepatrick,2006,110,95000,152146,188500,210383,230026,500000
Antrim and Newtownabbey,Templepatrick,2007,50,119000,237500,312000,333858,410000,760000
Antrim and Newtownabbey,Templepatrick,2008,27,.,.,.,.,.,.
Antrim and Newtownabbey,Templepatrick,2009,16,.,.,.,.,.,.
Antrim and Newtownabbey,Templepatrick,2010,17,.,.,.,.,.,.
Antrim and Newtownabbey,Templepatrick,2011,24,.,.,.,.,.,.
Antrim and Newtownabbey,Templepatrick,2012,30,.,.,.,.,.,.
Antrim and Newtownabbey,Templepatrick,2013,32,.,.,.,.,.,.
Antrim and Newtownabbey,Templepatrick,2014,36,60000,95000,155000,159122,207000,324670
Antrim and Newtownabbey,Templepatrick,2015,44,60000,140000,171250,183421,222848,340000
Antrim and Newtownabbey,Templepatrick,2016,56,59000,140000,179950,198358,240000,440000
Antrim and Newtownabbey,Templepatrick,2017,63,72000,130000,172000,204310,270000,435000
Antrim and Newtownabbey,Templepatrick,2018,70,88000,140000,183975,199273,240000,565000
Antrim and Newtownabbey,Toome,2005,15,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2006,33,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2007,22,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2008,7,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2009,5,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2010,12,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2011,5,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2012,7,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2013,5,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2014,18,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2015,11,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2016,14,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2017,30,.,.,.,.,.,.
Antrim and Newtownabbey,Toome,2018,28,.,.,.,.,.,.
Antrim and Newtownabbey,Valley,2005,79,37000,77000,94000,96147,112500,175000
Antrim and Newtownabbey,Valley,2006,110,29400,110000,119950,119927,132000,195000
Antrim and Newtownabbey,Valley,2007,72,36077,136250,181500,171005,210000,330000
Antrim and Newtownabbey,Valley,2008,37,38404,117500,147500,146388,171325,240000
Antrim and Newtownabbey,Valley,2009,27,.,.,.,.,.,.
Antrim and Newtownabbey,Valley,2010,23,.,.,.,.,.,.
Antrim and Newtownabbey,Valley,2011,25,.,.,.,.,.,.
Antrim and Newtownabbey,Valley,2012,28,.,.,.,.,.,.
Antrim and Newtownabbey,Valley,2013,31,.,.,.,.,.,.
Antrim and Newtownabbey,Valley,2014,42,42000,67000,74000,81934,99000,174000
Antrim and Newtownabbey,Valley,2015,44,50000,64950,76500,82557,98000,125000
Antrim and Newtownabbey,Valley,2016,42,37700,70750,85500,92876,112500,179950
Antrim and Newtownabbey,Valley,2017,45,43000,65000,86196,93499,118000,162500
Antrim and Newtownabbey,Valley,2018,52,42500,72000,90000,95485,115000,190000
Antrim and Newtownabbey,Whitehouse,2005,32,.,.,.,.,.,.
Antrim and Newtownabbey,Whitehouse,2006,59,40000,77000,125000,158538,176000,685000
Antrim and Newtownabbey,Whitehouse,2007,57,80000,130000,187500,230488,315000,650000
Antrim and Newtownabbey,Whitehouse,2008,17,.,.,.,.,.,.
Antrim and Newtownabbey,Whitehouse,2009,41,50000,80000,108500,109895,125000,200000
Antrim and Newtownabbey,Whitehouse,2010,47,60000,110000,110000,127564,124950,450000
Antrim and Newtownabbey,Whitehouse,2011,15,.,.,.,.,.,.
Antrim and Newtownabbey,Whitehouse,2012,26,.,.,.,.,.,.
Antrim and Newtownabbey,Whitehouse,2013,25,.,.,.,.,.,.
Antrim and Newtownabbey,Whitehouse,2014,31,.,.,.,.,.,.
Antrim and Newtownabbey,Whitehouse,2015,33,40000,56000,72500,84594,92000,300000
Antrim and Newtownabbey,Whitehouse,2016,38,41500,68000,83975,94435,96000,395000
Antrim and Newtownabbey,Whitehouse,2017,45,46000,69000,88975,98683,100500,340000
Antrim and Newtownabbey,Whitehouse,2018,45,52000,85000,146475,159412,195000,407761
